City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Kingaroy,AU,-26.5333,151.8333,68.04,100,75,4.61,broken clouds
234,Thompson,CA,55.7435,-97.8558,1.56,78,100,2.3,overcast clouds
235,Verkhnyaya Tura,RU,58.3594,59.8175,2.77,98,100,1.16,overcast clouds
236,Falmouth,GB,50.1544,-5.0711,49.1,93,75,10.36,broken clouds
237,Mahebourg,MU,-20.4081,57.7,80.89,78,75,14.97,broken clouds
238,Zhangjiakou,CN,40.81,114.8794,14.05,55,63,7.7,broken clouds
239,Tianpeng,CN,30.9866,103.9393,39.67,79,100,3.31,overcast clouds
240,Taybad,IR,34.74,60.7756,40.44,70,1,5.73,clear sky
241,Laguna,US,38.421,-121.4238,58.08,75,0,4.61,clear sky
242,Necochea,AR,-38.5473,-58.7368,76.03,63,90,20.51,overcast clouds
243,Benghazi,LY,32.1167,20.0667,56.52,65,83,24.0,broken clouds
244,Beloha,MG,-25.1667,45.05,74.57,68,88,15.77,overcast clouds
245,Yulara,AU,-25.2406,130.9889,73.24,100,40,12.66,light rain
246,Corinth,GR,37.9407,22.9573,49.68,71,29,2.21,scattered clouds
247,Hays,US,30.0502,-98.0336,64.08,44,2,12.08,clear sky
248,Vilaka,LV,57.1846,27.6722,30.56,97,100,3.09,overcast clouds
249,Songea,TZ,-10.6833,35.65,64.42,96,38,2.91,light rain
250,Pilar,BR,-9.5972,-35.9567,87.73,49,93,11.81,overcast clouds
251,Makakilo City,US,21.3469,-158.0858,72.28,74,0,5.75,clear sky
252,Lagoa,PT,39.05,-27.9833,57.78,66,66,22.37,broken clouds
253,Evensk,RU,61.95,159.2333,18.41,83,100,25.97,light snow
254,Gazli,UZ,40.1333,63.45,36.43,63,0,10.85,clear sky
255,Nambucca Heads,AU,-30.65,153.0,72.18,91,42,5.39,scattered clouds
256,Hasaki,JP,35.7333,140.8333,34.2,49,96,13.98,overcast clouds
257,Tibati,CM,6.4667,12.6333,77.36,17,100,7.29,overcast clouds
258,Vila,PT,42.0304,-8.1588,52.34,65,0,3.33,clear sky
259,Lujiang,CN,31.2581,117.2817,32.05,77,51,0.92,broken clouds
260,Dahra,DZ,36.2546,0.8519,60.19,41,0,3.06,clear sky
261,Luanda,AO,-8.8368,13.2343,79.32,82,98,11.97,overcast clouds
262,Fort Nelson,CA,58.8053,-122.7002,-0.81,78,100,5.75,light snow
263,Balkhash,KZ,46.844,74.9804,4.71,100,67,4.43,broken clouds
264,Sorland,NO,67.667,12.6934,33.66,50,100,17.69,overcast clouds
265,Aquiraz,BR,-3.9014,-38.3911,87.89,74,99,10.25,overcast clouds
266,Kapit,MY,2.0167,112.9333,72.77,99,100,0.36,overcast clouds
