City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
360,Dharmadam,IN,76.82,few clouds,11.7833,75.4333,Samudra Homes
362,Hobyo,SO,77.47,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
364,Alta Floresta,BR,80.42,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
367,Trairi,BR,78.3,overcast clouds,-3.2778,-39.2689,janelas do mar
368,Bajil,YE,78.62,scattered clouds,15.0584,43.2851,فندق حضرموت
372,Sumbe,AO,78.44,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
379,Santiago,CL,83.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
386,Lhokseumawe,ID,77.07,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
390,Pandan,PH,77.0,light rain,14.0453,124.1694,Bonifacio Lodge
392,Labuhan,ID,77.83,light rain,-6.8844,112.2051,DoubleFAG
401,Yenagoa,NG,82.56,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
402,Astanajapura,ID,78.51,light rain,-6.8017,108.6311,nida nur arofah
404,Rio Grande,BR,82.51,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
408,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
411,Villa Carlos Paz,AR,88.05,clear sky,-31.4241,-64.4978,Monte Carlo vcp
412,Sabang,ID,81.81,scattered clouds,5.8933,95.3214,Hotel Citra
414,Mouila,GA,75.11,moderate rain,-1.8685,11.0559,Hôtel du Lac Bleu
415,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
421,Itarema,BR,77.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
424,Humaita,BR,75.11,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
434,Vila Velha,BR,87.75,thunderstorm,-20.3297,-40.2925,Quality Suites Vila Velha
435,Kampot,KH,75.25,clear sky,10.6167,104.1833,Two Moons Hotel
440,Sinnamary,GF,80.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
447,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
454,Morondava,MG,83.39,clear sky,-20.2833,44.2833,La Case Bambou
460,Amahai,ID,78.98,light rain,-3.3333,128.9167,HOTEL ISABELA
463,Garango,BF,84.58,scattered clouds,11.8,-0.5506,La Case LAVAL-GARANGO
474,Tual,ID,83.66,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
475,Wamba,NG,79.52,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
481,Moron,AR,88.02,clear sky,-34.6534,-58.6198,Hotel Morón
496,Autazes,BR,77.27,light rain,-3.5797,-59.1306,Hotel Tupinambá
497,Namatanai,PG,78.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
500,Sokoni,TZ,80.6,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
505,Ternate,ID,79.61,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
513,Atar,MR,89.22,overcast clouds,20.5169,-13.0499,Oumou Elghoura
514,Saldanha,ZA,86.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
517,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
523,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
525,Cotonou,BJ,87.78,dust,6.3654,2.4183,Novotel Cotonou Orisha
526,Dingle,PH,75.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
527,Wewak,PG,76.28,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
528,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
529,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
535,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
540,Tutoia,BR,89.58,overcast clouds,-2.7619,-42.2744,Pousada Guará's
547,Manaus,BR,82.9,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
550,Maldonado,UY,84.22,clear sky,-34.6667,-54.9167,La Cimarrona
551,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
553,Booue,GA,81.41,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
564,Sibolga,ID,76.48,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
566,Hualmay,PE,75.4,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
577,Capao Da Canoa,BR,75.85,few clouds,-29.7456,-50.0097,Hotel Araçá
579,Catanduva,BR,84.49,overcast clouds,-21.1378,-48.9728,Colonial Hotel
583,Mandera,KE,86.02,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
587,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
588,Puerto Suarez,BO,88.36,broken clouds,-18.95,-57.8,Hotel casa real
591,Sulangan,PH,81.52,broken clouds,11.1373,123.7228,Maia's Beach Resort
593,Tiruchchirappalli,IN,77.11,mist,10.8167,78.6833,Sangam Hotel
597,Vao,NC,79.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
598,Tubuala,PA,89.71,broken clouds,9.5167,-79.0333,Río Nabagana
601,Bria,CF,79.79,scattered clouds,6.5423,21.9863,WFP Guesthouse
610,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
615,Conakry,GN,86.36,haze,9.538,-13.6773,Riviera Royal Hotel
616,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
